"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"AL390719.3",0.069521110939974,0.0066019895929359,4.78677589677012e-05,0.00370588010994988,0.0207386178640023,0.00825245081044201,5.02948706349038e-05,0.0054924543335888
"LINC01342",0.067517318310073,0.000384635757044727,0.0019822356789656,0.00239570541042955,0.0234122620500821,0.000123622974601556,0.00786047617401531,0.0010547951493578
"TTLL10-AS1",0.0592043474665127,0.0200675602563538,0.00598185535358731,0.00321678490391442,0.0173486179826932,0.0117748984893029,0.000648004291914361,0.00919723288707042
"TTLL10",0.203856694802895,0.0387676025881412,0.0529299818197715,0.00178541221129702,0.00902734381897918,0.0156625704067603,0.0169457101044546,0.00146679574059005
"TNFRSF18",1.76317074336969,0.0117762008258304,0.225174604918044,0.0113583410899509,0.0303047428293235,0.0036734270932981,0.0935755658615145,0.00234968859246232
"TNFRSF4",1.63967680342726,0.00503987470336087,0.136176047909253,0.0597597603753774,0.000122623182940984,0.0245580394278577,0.0382350218163463,0.021562333246905
"SDF4",4.65416934032288,0.400315949396868,0.875049925113547,0.442964414336866,0.255945936748669,0.052113277770216,0.495376823189497,0.000189323874077996
"B3GALT6",0.960666155160617,0.297246263636552,0.169736965713474,0.0359210814817601,1.59605078042802e-05,0.0498457015013054,0.27621703288272,0.000938218801205259
"C1QTNF12",0.0358935394564663,0.0167514149827408,0.00580868238256871,0.00432843473775479,0.00139623283481605,0.000299020498517599,0.000180161810581225,0.00571219659876165
"AL162741.1",0.0558384826582548,0.0127106593459381,0.0247578504942614,0.0195718758228547,0.00155605587982555,0.001814542400147,0.00011179606026479,0.000262528877448265
"UBE2J2",1.31271966476285,0.416395103590961,0.397132716806459,0.226729665894976,0.101853214245606,0.22939518113898,0.444315048275545,0.0976592058460013
"LINC01786",0.0684339277400414,0.0122832967667019,0.0249692861002959,0.0249370115205871,0.0201457133918059,0.0133909243431263,0.00233929605186756,0.0380649810562517
"SCNN1D",0.0882786305659744,0.0469125381312163,0.022610466191908,0.00376550217019433,0.00212314796894653,0.000897855375725509,0.00157616917392245,0.00482364968101834
"ACAP3",1.69033198392092,0.430731865077227,0.385634633350806,0.372698364030144,0.306785053427094,0.45696634317498,0.137900273872127,0.408407728334725
"PUSL1",0.59758253258293,0.284827684106626,0.0543179796546278,0.0274781667301882,0.00978394061901255,0.0766893733369689,0.0138269775998623,0.0192710898455517
"INTS11",0.643994214290955,0.202468747856199,0.0979126806698871,0.0339663442444738,0.0126558327139592,0.0482264604045768,0.160856966928058,0.0174331815611772
"AL139287.1",0.0310471819535252,0.00460325398944361,0.012861667850983,0.00848153341329594,0.00208436726932826,0.00268300310375391,0.00735408716872055,0.0014942043466748
"CPTP",0.44072937913876,0.110778541995837,0.0019876463682289,0.00836568792804693,0.0253561568730243,0.0112914736414726,0.129584199409061,3.59875746869243e-05
"TAS1R3",0.216524957831299,0.0277557278996254,0.0495443332532153,0.00209178764590812,0.0108983954698716,2.26069428066467e-05,0.0126775917737354,0.00143606557982956
"DVL1",0.58033196281575,0.12720542739606,0.0322630458895357,0.0697193354277537,0.0239221681453738,0.230609010813176,0.0658924055201848,0.0458636681074487
"MXRA8",15.7492745075224,3.75466833905523,1.02899676349015,0.0506496965334224,0.0400126588850913,0.913775903884073,0.00293769796589904,1.28680518329695
"AURKAIP1",3.30591680712837,0.856809819409943,0.261812720719334,0.171920221408806,0.162970283097519,0.0438003333574466,0.812236795792887,0.286901519216254
"CCNL2",0.848976339718321,0.10111096802593,0.264943099044124,0.0341191742700087,0.0570902864087564,0.0159755931382177,0.0112265396551847,0.177068971712524
"MRPL20-AS1",0.18413119697317,0.0951412541981722,0.0226338400484694,0.00694342422102867,0.00866969061379397,0.00705956738358271,0.0826788395016598,0.00344014338048426
"MRPL20",3.02978808633879,0.67669295341708,0.302923975330016,0.0581835721749968,0.281945947915407,0.0303720969021759,1.15040034714456,0.760996362688859
"AL391244.2",0.102595247294224,0.00199901557328408,0.0171558742802502,0.000176477172630918,0.0084413870224842,0.00392201197809694,0.00652075987600531,0.00566266686297112
"ANKRD65",1.44791861605902,0.235199516777507,0.0921612033950581,0.0650476149051227,0.00595036822298445,0.176452430573126,0.047377093208012,0.110957372501597
"AL391244.1",0.0796358235805816,0.0102727443910378,0.0115722503305382,0.000176023172748785,0.0023716156442255,5.48070850481253e-05,0.000203932908915405,0.000143216538628366
"LINC01770",0.283555765017174,0.0289386729575125,0.0342224931556667,0.0044470277434927,0.024846677709589,0.000275292615858902,0.00925226511686583,0.000748629861913042
"VWA1",4.04968546113389,0.582937161598907,0.488337735194,0.108602852588868,0.319987491334051,0.0694404994837194,0.00644647635948958,0.278751643280006
"ATAD3C",0.418747077684645,0.00203261956779333,0.0232144274763368,0.00996283081713401,1.10580433698715e-09,0.00143959919869374,0.00147519432531773,4.4556376177507e-05
"ATAD3B",0.626288302604883,0.124219352221644,0.322819557826404,0.0465041331612848,0.274428527192383,0.0747879743884683,0.0402121615556306,0.161555511988609
"ATAD3A",0.935725594799763,0.205438350734688,0.17873990877918,0.0635636862886813,0.10927848926211,0.182722588349449,0.074409352258531,0.0723332721874304
"TMEM240",1.58999735090214,0.465808223879804,0.0762121472062671,0.0428089094974715,0.0739161346454575,0.235903413671346,4.91044603090351e-05,0.188828236682459
"SSU72",0.731870953126823,0.138489891409055,0.0652050501214751,0.012906770785015,0.0323308046823123,0.00179057727202059,0.114104590970421,0.0392150108004641
"AL645728.1",0.244280440656819,0.0265632101079882,0.121829472703905,0.00736243664035685,0.0245900282458633,0.000500991150509389,0.000235453353936155,0.00708151685905323
"FNDC10",0.487160724497571,0.0538705686476737,0.172691981432027,0.181573679616032,0.00563735726264447,0.182695452156079,0.103684329478826,0.000339783056446663
"AL691432.4",0.0368551734642453,0.00518051279636556,0.00921232630699542,2.61659351963317e-06,0.00260980126474131,0.000471746375263482,0.000817427292088002,0.00221125104060693
"AL691432.2",0.140711867876586,0.0489626863175774,0.0435233036075178,0.00479817477562205,0.000261748556384944,0.000200680163986444,0.00584307306508158,0.000390603532351985
"MIB2",0.800350832876973,0.252290511398723,0.195203313645387,0.00913288188633121,0.0139431996723394,0.00263140144614038,0.00629684675721442,0.166794530819914
"MMP23B",2.48720450859647,1.34254293974847,0.272079648117185,0.0321863072214601,0.0998511058750484,0.311712541862974,0.00540642376759548,0.114067211077618
"CDK11B",2.23639455207231,0.19024428350819,0.862259351344585,0.16367937613796,0.717253575537824,0.0808485067037679,0.0616151093237205,0.545070672961145
"FO704657.1",0.070176661218202,0.0105082629545006,0.00576141068032721,6.29668958085361e-06,0.000139331190018854,0.00270768495210794,0.00275142676243734,0.00116258754452314
"SLC35E2B",0.575402745570042,0.0263580541718933,0.0651332218465583,0.0005630834453485,0.0767695975756211,0.0116695835494562,0.122594543182775,0.00949721291161332
"CDK11A",2.06586403413166,0.226981676227334,0.448535618622636,0.166921978833845,0.604132712829952,0.276242602715171,0.00882078901717209,0.722999069143038
"SLC35E2A",0.164253467606501,0.00841627867208539,0.00583585024102051,0.000116314887865787,0.0788766853436429,0.00525222230238764,0.0122504050833805,0.0440317629438636
"NADK",2.67624790553072,0.349159071388028,0.467667872475885,0.00798177632372887,0.0098322928768213,0.14219427101384,0.457901940307037,0.00334428149226795
"GNB1",3.06692097161969,0.833601004376006,0.353066930404533,0.168567909649098,1.77110676576624,0.216260471908758,0.190993873298695,0.766108066474114
"AL109917.1",0.0788530152027733,0.0213814894533759,0.00718335413183446,0.000484625418828433,0.00200023287333373,0.00182365715267752,0.00580418038744757,0.00377542295182387
"CALML6",0.0457108872699896,0.0147877618568493,0.00792823482330673,8.7987822372515e-05,0.00320942954951109,0.000770517432846507,0.000458436508055104,0.00226977026247521
